WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,GRASS,GRASS,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,GRASS,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
WALL,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WALL,WATER_SHALLOW,WATER_SHALLOW,WATER_SHALLOW,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,SAND,WALL
